GEOID,state_sovi_rank,fema_region_sovi_rank,us_sovi_rank
g06001,33.0,54.0,51.0
g06003,40.0,4.0,36.0
g06005,23.0,15.0,38.0
g06007,24.0,23.0,24.0
g06009,30.0,38.0,37.0
g06011,20.0,13.0,8.0
g06013,27.0,55.0,54.0
g06015,9.0,5.0,16.0
g06017,57.0,56.0,52.0
g06019,15.0,14.0,7.0
g06021,10.0,25.0,18.0
g06023,48.0,39.0,33.0
g06025,5.0,2.0,1.0
g06027,34.0,17.0,13.0
g06029,11.0,32.0,20.0
g06031,1.0,26.0,34.0
g06033,18.0,6.0,9.0
g06035,4.0,33.0,56.0
g06037,22.0,21.0,22.0
g06039,6.0,11.0,6.0
g06041,46.0,47.0,57.0
g06043,26.0,30.0,19.0
g06045,21.0,9.0,11.0
g06047,12.0,12.0,5.0
g06049,3.0,3.0,2.0
g06051,58.0,52.0,42.0
g06053,8.0,18.0,15.0
g06055,14.0,19.0,39.0
g06057,53.0,43.0,41.0
g06059,35.0,35.0,50.0
g06061,56.0,57.0,53.0
g06063,37.0,7.0,17.0
g06065,49.0,45.0,30.0
g06067,54.0,48.0,32.0
g06069,25.0,44.0,35.0
g06071,52.0,46.0,29.0
g06073,47.0,49.0,46.0
g06075,2.0,1.0,43.0
g06077,36.0,34.0,27.0
g06079,31.0,42.0,47.0
g06081,44.0,41.0,55.0
g06083,13.0,24.0,31.0
g06085,43.0,53.0,58.0
g06087,32.0,36.0,48.0
g06089,39.0,29.0,26.0
g06091,51.0,10.0,4.0
g06093,28.0,22.0,10.0
g06095,55.0,58.0,45.0
g06097,41.0,40.0,40.0
g06099,19.0,28.0,21.0
g06101,17.0,31.0,23.0
g06103,16.0,20.0,12.0
g06105,45.0,27.0,14.0
g06107,7.0,8.0,3.0
g06109,29.0,16.0,25.0
g06111,42.0,50.0,49.0
g06113,50.0,51.0,44.0
g06115,38.0,37.0,28.0
g13001,70.0,95.0,126.0
g13003,64.0,62.0,71.0
g13005,80.0,88.0,86.0
g13007,75.0,58.0,4.0
g13009,82.0,13.0,41.0
g13011,84.0,142.0,147.0
g13013,88.0,140.0,136.0
g13015,140.0,130.0,122.0
g13017,37.0,21.0,14.0
g13019,41.0,85.0,92.0
g13021,104.0,66.0,26.0
g13023,96.0,101.0,56.0
g13025,95.0,108.0,112.0
g13027,24.0,42.0,53.0
g13029,151.0,148.0,148.0
g13031,137.0,107.0,116.0
g13033,93.0,65.0,24.0
g13035,106.0,119.0,134.0
g13037,1.0,3.0,76.0
g13039,156.0,131.0,133.0
g13043,27.0,10.0,34.0
g13045,133.0,132.0,117.0
g13047,146.0,135.0,106.0
g13049,43.0,53.0,131.0
g13051,122.0,91.0,79.0
g13053,159.0,112.0,159.0
g13055,56.0,80.0,95.0
g13057,147.0,152.0,150.0
g13059,83.0,41.0,64.0
g13061,3.0,2.0,1.0
g13063,105.0,64.0,58.0
g13065,66.0,22.0,11.0
g13067,98.0,138.0,146.0
g13069,57.0,79.0,111.0
g13071,16.0,59.0,60.0
g13073,143.0,151.0,151.0
g13075,90.0,96.0,80.0
g13077,138.0,147.0,145.0
g13079,141.0,115.0,125.0
g13081,79.0,45.0,19.0
g13083,126.0,125.0,118.0
g13085,130.0,143.0,139.0
g13087,74.0,27.0,25.0
g13089,67.0,84.0,104.0
g13091,49.0,47.0,105.0
g13093,12.0,50.0,108.0
g13095,115.0,55.0,13.0
g13097,149.0,146.0,141.0
g13099,31.0,46.0,17.0
g13101,6.0,9.0,31.0
g13103,157.0,153.0,153.0
g13105,77.0,40.0,18.0
g13107,55.0,30.0,42.0
g13109,44.0,87.0,81.0
g13111,100.0,43.0,32.0
g13113,131.0,158.0,155.0
g13115,91.0,67.0,47.0
g13117,123.0,159.0,158.0
g13119,58.0,68.0,73.0
g13121,46.0,124.0,144.0
g13123,29.0,56.0,68.0
g13125,19.0,33.0,82.0
g13127,108.0,74.0,45.0
g13129,87.0,105.0,97.0
g13131,65.0,69.0,78.0
g13133,18.0,20.0,29.0
g13135,62.0,118.0,142.0
g13137,76.0,103.0,70.0
g13139,39.0,81.0,96.0
g13141,9.0,4.0,10.0
g13143,111.0,110.0,85.0
g13145,144.0,157.0,156.0
g13147,53.0,60.0,50.0
g13149,109.0,116.0,109.0
g13151,153.0,149.0,143.0
g13153,136.0,136.0,127.0
g13155,45.0,75.0,91.0
g13157,124.0,141.0,135.0
g13159,132.0,121.0,107.0
g13161,61.0,104.0,114.0
g13163,50.0,26.0,16.0
g13165,30.0,54.0,21.0
g13167,15.0,38.0,113.0
g13169,135.0,145.0,128.0
g13171,118.0,120.0,88.0
g13173,102.0,70.0,67.0
g13175,89.0,71.0,49.0
g13177,148.0,156.0,157.0
g13179,152.0,122.0,124.0
g13181,60.0,15.0,20.0
g13183,150.0,82.0,87.0
g13185,139.0,114.0,89.0
g13187,145.0,126.0,120.0
g13189,101.0,86.0,62.0
g13191,121.0,94.0,30.0
g13193,13.0,29.0,83.0
g13195,117.0,123.0,102.0
g13197,14.0,31.0,69.0
g13199,107.0,100.0,54.0
g13201,21.0,48.0,44.0
g13205,23.0,61.0,75.0
g13207,116.0,134.0,130.0
g13209,38.0,106.0,129.0
g13211,112.0,129.0,93.0
g13213,92.0,113.0,119.0
g13215,119.0,63.0,40.0
g13217,155.0,144.0,110.0
g13219,127.0,155.0,154.0
g13221,99.0,137.0,137.0
g13223,158.0,154.0,149.0
g13225,81.0,111.0,101.0
g13227,120.0,127.0,123.0
g13229,69.0,83.0,77.0
g13231,154.0,150.0,140.0
g13233,71.0,72.0,63.0
g13235,52.0,18.0,3.0
g13237,54.0,73.0,66.0
g13239,68.0,37.0,39.0
g13241,20.0,12.0,23.0
g13243,7.0,19.0,33.0
g13245,125.0,52.0,35.0
g13247,134.0,133.0,99.0
g13249,85.0,128.0,138.0
g13251,73.0,89.0,52.0
g13253,35.0,36.0,7.0
g13255,128.0,92.0,55.0
g13257,110.0,77.0,37.0
g13259,2.0,5.0,84.0
g13261,48.0,14.0,15.0
g13263,78.0,78.0,36.0
g13265,11.0,7.0,2.0
g13267,10.0,24.0,132.0
g13269,36.0,39.0,43.0
g13271,5.0,1.0,38.0
g13273,25.0,17.0,6.0
g13275,63.0,57.0,46.0
g13277,59.0,76.0,61.0
g13279,26.0,25.0,27.0
g13281,40.0,11.0,5.0
g13283,42.0,44.0,74.0
g13285,114.0,102.0,57.0
g13287,51.0,35.0,28.0
g13289,34.0,109.0,98.0
g13291,28.0,23.0,8.0
g13293,97.0,51.0,22.0
g13295,129.0,117.0,90.0
g13297,142.0,139.0,121.0
g13299,47.0,32.0,48.0
g13301,17.0,28.0,12.0
g13303,32.0,34.0,59.0
g13305,86.0,90.0,115.0
g13307,33.0,98.0,94.0
g13309,4.0,6.0,152.0
g13311,113.0,99.0,103.0
g13313,22.0,49.0,72.0
g13315,8.0,8.0,100.0
g13317,103.0,16.0,9.0
g13319,72.0,93.0,51.0
g13321,94.0,97.0,65.0
g16001,25.0,24.0,38.0
g16003,27.0,16.0,7.0
g16005,23.0,17.0,29.0
g16007,30.0,18.0,16.0
g16009,21.0,14.0,11.0
g16011,24.0,15.0,22.0
g16013,31.0,20.0,33.0
g16015,28.0,41.0,41.0
g16017,32.0,28.0,24.0
g16019,34.0,32.0,31.0
g16021,26.0,26.0,25.0
g16023,29.0,19.0,6.0
g16025,36.0,36.0,39.0
g16027,3.0,8.0,15.0
g16029,39.0,39.0,40.0
g16031,15.0,21.0,26.0
g16033,13.0,23.0,2.0
g16035,16.0,29.0,19.0
g16037,38.0,37.0,34.0
g16039,4.0,33.0,30.0
g16041,43.0,43.0,43.0
g16043,42.0,42.0,27.0
g16045,6.0,2.0,8.0
g16047,18.0,22.0,20.0
g16049,11.0,7.0,4.0
g16051,40.0,38.0,42.0
g16053,5.0,9.0,21.0
g16055,33.0,25.0,28.0
g16057,19.0,31.0,37.0
g16059,14.0,13.0,9.0
g16061,9.0,3.0,1.0
g16063,20.0,27.0,23.0
g16065,35.0,34.0,35.0
g16067,17.0,12.0,12.0
g16069,7.0,10.0,13.0
g16071,37.0,35.0,36.0
g16073,1.0,6.0,14.0
g16075,8.0,5.0,10.0
g16077,22.0,30.0,32.0
g16079,10.0,4.0,5.0
g16081,41.0,44.0,44.0
g16083,12.0,11.0,18.0
g16085,44.0,40.0,17.0
g16087,2.0,1.0,3.0
g17001,55.0,47.0,30.0
g17003,26.0,37.0,1.0
g17005,52.0,57.0,55.0
g17007,62.0,55.0,94.0
g17009,45.0,75.0,102.0
g17011,51.0,50.0,37.0
g17013,49.0,56.0,41.0
g17015,31.0,19.0,11.0
g17017,58.0,6.0,26.0
g17019,18.0,74.0,85.0
g17021,44.0,51.0,39.0
g17023,48.0,46.0,58.0
g17025,11.0,42.0,50.0
g17027,90.0,97.0,88.0
g17029,40.0,41.0,28.0
g17031,68.0,1.0,18.0
g17033,12.0,80.0,75.0
g17035,54.0,65.0,69.0
g17037,85.0,88.0,84.0
g17039,81.0,83.0,73.0
g17041,84.0,23.0,60.0
g17043,97.0,84.0,99.0
g17045,36.0,15.0,21.0
g17047,34.0,63.0,68.0
g17049,88.0,87.0,80.0
g17051,27.0,70.0,65.0
g17053,71.0,32.0,34.0
g17055,15.0,13.0,9.0
g17057,41.0,59.0,42.0
g17059,3.0,4.0,10.0
g17061,47.0,71.0,54.0
g17063,95.0,95.0,95.0
g17065,9.0,31.0,59.0
g17067,38.0,33.0,29.0
g17069,1.0,29.0,13.0
g17071,30.0,36.0,45.0
g17073,80.0,61.0,67.0
g17075,64.0,22.0,20.0
g17077,2.0,66.0,47.0
g17079,63.0,67.0,79.0
g17081,17.0,64.0,51.0
g17083,89.0,85.0,74.0
g17085,23.0,35.0,32.0
g17087,10.0,102.0,93.0
g17089,99.0,16.0,87.0
g17091,82.0,27.0,38.0
g17093,102.0,100.0,101.0
g17095,33.0,14.0,8.0
g17097,98.0,82.0,98.0
g17099,77.0,45.0,48.0
g17101,6.0,101.0,90.0
g17103,74.0,78.0,62.0
g17105,65.0,68.0,70.0
g17107,42.0,54.0,19.0
g17109,14.0,77.0,57.0
g17111,101.0,98.0,100.0
g17113,83.0,94.0,92.0
g17115,60.0,20.0,25.0
g17117,73.0,49.0,43.0
g17119,78.0,73.0,72.0
g17121,25.0,21.0,16.0
g17123,67.0,52.0,36.0
g17125,21.0,25.0,33.0
g17127,28.0,17.0,6.0
g17129,87.0,79.0,64.0
g17131,79.0,58.0,71.0
g17133,96.0,99.0,96.0
g17135,37.0,72.0,24.0
g17137,56.0,43.0,23.0
g17139,86.0,38.0,52.0
g17141,93.0,69.0,76.0
g17143,50.0,34.0,53.0
g17145,4.0,91.0,78.0
g17147,92.0,92.0,89.0
g17149,13.0,26.0,14.0
g17151,7.0,12.0,2.0
g17153,5.0,2.0,3.0
g17155,43.0,89.0,86.0
g17157,24.0,93.0,83.0
g17159,39.0,40.0,49.0
g17161,72.0,7.0,22.0
g17163,70.0,30.0,40.0
g17165,8.0,11.0,12.0
g17167,76.0,60.0,66.0
g17169,20.0,76.0,77.0
g17171,61.0,53.0,56.0
g17173,53.0,62.0,61.0
g17175,66.0,48.0,46.0
g17177,57.0,8.0,7.0
g17179,91.0,86.0,81.0
g17181,22.0,24.0,17.0
g17183,35.0,10.0,15.0
g17185,46.0,44.0,44.0
g17187,29.0,5.0,4.0
g17189,69.0,81.0,82.0
g17191,32.0,28.0,63.0
g17193,19.0,3.0,5.0
g17195,59.0,18.0,31.0
g17197,100.0,90.0,97.0
g17199,16.0,39.0,27.0
g17201,75.0,9.0,35.0
g17203,94.0,96.0,91.0
g23001,23.0,21.0,19.0
g23003,15.0,3.0,5.0
g23005,24.0,36.0,30.0
g23007,18.0,15.0,8.0
g23009,22.0,26.0,15.0
g23011,20.0,14.0,18.0
g23013,21.0,23.0,13.0
g23015,10.0,13.0,17.0
g23017,13.0,12.0,11.0
g23019,31.0,19.0,20.0
g23021,5.0,4.0,6.0
g23023,35.0,33.0,26.0
g23025,12.0,9.0,14.0
g23027,27.0,25.0,16.0
g23029,2.0,1.0,3.0
g23031,33.0,35.0,25.0
g25001,6.0,11.0,9.0
g25003,7.0,6.0,4.0
g25005,3.0,5.0,12.0
g25007,11.0,31.0,27.0
g25009,4.0,8.0,21.0
g25011,25.0,24.0,22.0
g25013,1.0,2.0,2.0
g25015,28.0,29.0,28.0
g25017,29.0,27.0,37.0
g25019,40.0,40.0,40.0
g25021,19.0,17.0,38.0
g25023,16.0,20.0,34.0
g25025,8.0,7.0,1.0
g25027,14.0,16.0,29.0
g29001,56.0,36.0,63.0
g29003,72.0,100.0,94.0
g29005,69.0,93.0,66.0
g29007,59.0,13.0,29.0
g29009,60.0,68.0,69.0
g29011,63.0,70.0,74.0
g29013,62.0,69.0,67.0
g29015,22.0,79.0,18.0
g29017,103.0,85.0,89.0
g29019,80.0,101.0,108.0
g29021,51.0,38.0,59.0
g29023,24.0,6.0,19.0
g29025,90.0,82.0,80.0
g29027,102.0,105.0,106.0
g29029,29.0,98.0,23.0
g29031,70.0,54.0,75.0
g29033,85.0,78.0,71.0
g29035,12.0,8.0,7.0
g29037,107.0,108.0,104.0
g29039,30.0,56.0,26.0
g29041,35.0,27.0,21.0
g29043,109.0,110.0,105.0
g29045,86.0,81.0,82.0
g29047,97.0,102.0,107.0
g29049,95.0,90.0,84.0
g29051,87.0,87.0,99.0
g29053,88.0,88.0,85.0
g29055,65.0,41.0,54.0
g29057,46.0,46.0,50.0
g29059,92.0,64.0,88.0
g29061,89.0,92.0,72.0
g29063,115.0,115.0,114.0
g29065,68.0,31.0,45.0
g29067,81.0,71.0,62.0
g29069,4.0,3.0,3.0
g29071,105.0,96.0,101.0
g29073,41.0,59.0,48.0
g29075,21.0,18.0,15.0
g29077,52.0,63.0,73.0
g29079,36.0,21.0,17.0
g29081,67.0,67.0,43.0
g29083,39.0,53.0,37.0
g29085,3.0,55.0,2.0
g29087,20.0,60.0,25.0
g29089,64.0,51.0,61.0
g29091,47.0,29.0,51.0
g29093,28.0,14.0,10.0
g29095,19.0,20.0,64.0
g29097,18.0,19.0,56.0
g29099,112.0,106.0,109.0
g29101,94.0,103.0,100.0
g29103,38.0,48.0,42.0
g29105,77.0,52.0,81.0
g29107,96.0,83.0,87.0
g29109,37.0,37.0,52.0
g29111,55.0,57.0,49.0
g29113,111.0,104.0,110.0
g29115,45.0,32.0,33.0
g29117,16.0,7.0,11.0
g29119,7.0,26.0,77.0
g29121,26.0,28.0,16.0
g29123,48.0,24.0,36.0
g29125,79.0,84.0,76.0
g29127,32.0,16.0,31.0
g29129,15.0,43.0,30.0
g29131,53.0,65.0,53.0
g29133,66.0,5.0,34.0
g29135,93.0,97.0,96.0
g29137,49.0,58.0,46.0
g29139,54.0,42.0,41.0
g29141,17.0,61.0,20.0
g29143,8.0,4.0,6.0
g29145,34.0,66.0,86.0
g29147,76.0,73.0,79.0
g29149,33.0,47.0,40.0
g29151,113.0,111.0,111.0
g29153,31.0,39.0,27.0
g29155,5.0,1.0,1.0
g29157,101.0,95.0,95.0
g29159,58.0,45.0,65.0
g29161,82.0,91.0,92.0
g29163,78.0,80.0,78.0
g29165,106.0,113.0,113.0
g29167,83.0,76.0,68.0
g29169,99.0,112.0,112.0
g29171,50.0,74.0,58.0
g29173,98.0,107.0,98.0
g29175,91.0,75.0,90.0
g29177,104.0,94.0,93.0
g29179,13.0,23.0,13.0
g29181,27.0,12.0,14.0
g29183,114.0,114.0,115.0
g29185,14.0,35.0,24.0
g29186,110.0,109.0,103.0
g29187,84.0,86.0,83.0
g29189,71.0,77.0,91.0
g29195,25.0,15.0,38.0
g29197,40.0,17.0,28.0
g29199,73.0,34.0,47.0
g29201,44.0,10.0,39.0
g29203,43.0,49.0,60.0
g29205,42.0,44.0,32.0
g29207,74.0,30.0,55.0
g29209,10.0,72.0,8.0
g29211,2.0,11.0,35.0
g29213,11.0,50.0,12.0
g29215,61.0,62.0,57.0
g29217,9.0,9.0,9.0
g29219,100.0,99.0,97.0
g29221,75.0,40.0,70.0
g29223,23.0,33.0,22.0
g29225,108.0,89.0,102.0
g29227,6.0,22.0,5.0
g29229,57.0,25.0,44.0
g29510,1.0,2.0,4.0
g33001,17.0,18.0,23.0
g33003,26.0,22.0,10.0
g33005,37.0,34.0,32.0
g33007,9.0,10.0,7.0
g33009,36.0,32.0,31.0
g33011,34.0,37.0,36.0
g33013,32.0,30.0,35.0
g33015,39.0,39.0,39.0
g33017,38.0,38.0,33.0
g33019,30.0,28.0,24.0
g36001,30.0,37.0,35.0
g36003,41.0,27.0,37.0
g36005,19.0,4.0,1.0
g36007,32.0,29.0,18.0
g36009,39.0,6.0,13.0
g36011,38.0,24.0,33.0
