GEOID,state_sovi_rank,fema_region_sovi_rank,us_sovi_rank
g36013,34.0,17.0,6.0
g36015,4.0,13.0,11.0
g36017,11.0,41.0,28.0
g36019,45.0,18.0,48.0
g36021,5.0,46.0,36.0
g36023,31.0,39.0,26.0
g36025,3.0,11.0,8.0
g36027,52.0,55.0,56.0
g36029,12.0,22.0,15.0
g36031,14.0,8.0,20.0
g36033,61.0,1.0,32.0
g36035,1.0,7.0,9.0
g36037,36.0,50.0,34.0
g36039,20.0,9.0,24.0
g36041,6.0,2.0,7.0
g36043,8.0,23.0,12.0
g36045,49.0,21.0,39.0
g36047,16.0,5.0,2.0
g36049,48.0,52.0,40.0
g36051,42.0,45.0,51.0
g36053,47.0,38.0,50.0
g36055,17.0,40.0,23.0
g36057,2.0,35.0,5.0
g36059,60.0,61.0,61.0
g36061,22.0,3.0,3.0
g36063,13.0,16.0,19.0
g36065,7.0,20.0,10.0
g36067,24.0,31.0,25.0
g36069,29.0,44.0,45.0
g36071,57.0,58.0,53.0
g36073,21.0,28.0,29.0
g36075,43.0,32.0,41.0
g36077,9.0,14.0,16.0
g36079,62.0,60.0,62.0
g36081,53.0,49.0,4.0
g36083,25.0,42.0,43.0
g36085,55.0,56.0,30.0
g36087,56.0,62.0,52.0
g36089,28.0,12.0,22.0
g36091,54.0,54.0,60.0
g36093,23.0,34.0,21.0
g36095,44.0,25.0,49.0
g36097,33.0,26.0,38.0
g36099,27.0,19.0,46.0
g36101,18.0,30.0,31.0
g36103,59.0,59.0,59.0
g36105,26.0,10.0,17.0
g36107,46.0,53.0,55.0
g36109,58.0,51.0,58.0
g36111,35.0,36.0,42.0
g36113,15.0,15.0,27.0
g36115,40.0,33.0,47.0
g36117,37.0,48.0,44.0
g36119,50.0,57.0,54.0
g36121,51.0,47.0,57.0
g36123,10.0,43.0,14.0
g46003,27.0,38.0,29.0
g46005,19.0,14.0,30.0
g46007,29.0,4.0,4.0
g46009,36.0,56.0,46.0
g46011,33.0,61.0,62.0
g46013,34.0,33.0,40.0
g46015,32.0,23.0,28.0
g46017,23.0,19.0,3.0
g46019,16.0,17.0,50.0
g46021,7.0,6.0,26.0
g46023,35.0,24.0,9.0
g46025,38.0,35.0,22.0
g46027,24.0,48.0,58.0
g46029,50.0,45.0,53.0
g46031,17.0,22.0,10.0
g46033,10.0,9.0,32.0
g46035,51.0,51.0,38.0
g46037,15.0,12.0,15.0
g46039,47.0,46.0,54.0
g46041,12.0,13.0,8.0
g46043,62.0,41.0,23.0
g46045,58.0,53.0,42.0
g46047,3.0,2.0,7.0
g46049,46.0,44.0,27.0
g46051,39.0,37.0,41.0
g46053,25.0,16.0,19.0
g46055,59.0,57.0,56.0
g46057,55.0,60.0,52.0
g46059,44.0,29.0,25.0
g46061,63.0,64.0,59.0
g46063,45.0,63.0,63.0
g46065,54.0,54.0,55.0
g46067,56.0,27.0,11.0
g46069,14.0,18.0,18.0
g46071,40.0,47.0,21.0
g46073,11.0,10.0,13.0
g46075,6.0,11.0,37.0
g46077,48.0,49.0,39.0
g46079,37.0,39.0,48.0
g46081,22.0,26.0,34.0
g46083,66.0,65.0,66.0
g46085,30.0,40.0,20.0
g46087,64.0,58.0,43.0
g46089,20.0,15.0,12.0
g46091,13.0,43.0,35.0
g46093,41.0,50.0,60.0
g46095,9.0,8.0,5.0
g46097,57.0,42.0,36.0
g46099,5.0,28.0,57.0
g46101,61.0,59.0,47.0
g46103,28.0,31.0,49.0
g46105,42.0,36.0,33.0
g46107,4.0,5.0,17.0
g46109,21.0,25.0,14.0
g46111,43.0,32.0,44.0
g46113,1.0,1.0,1.0
g46115,49.0,34.0,31.0
g46117,52.0,55.0,61.0
g46119,60.0,66.0,65.0
g46121,8.0,3.0,2.0
g46123,18.0,20.0,24.0
g46125,53.0,52.0,45.0
g46127,65.0,62.0,64.0
g46129,26.0,21.0,16.0
g46135,31.0,30.0,51.0
g46137,2.0,7.0,6.0
g48001,102.0,217.0,226.0
g48003,160.0,215.0,188.0
g48005,131.0,126.0,121.0
g48007,132.0,77.0,52.0
g48009,148.0,216.0,234.0
g48011,134.0,90.0,113.0
g48013,141.0,150.0,94.0
g48015,212.0,210.0,195.0
g48017,136.0,78.0,99.0
g48019,219.0,189.0,171.0
g48021,227.0,231.0,219.0
g48023,87.0,41.0,65.0
g48025,7.0,123.0,128.0
g48027,117.0,155.0,182.0
g48029,84.0,63.0,85.0
g48031,220.0,193.0,174.0
g48033,251.0,251.0,236.0
g48035,107.0,61.0,67.0
g48037,53.0,171.0,184.0
g48039,222.0,239.0,243.0
g48041,121.0,166.0,213.0
g48043,201.0,165.0,167.0
g48045,85.0,117.0,127.0
g48047,1.0,1.0,1.0
g48049,106.0,85.0,109.0
g48051,173.0,190.0,163.0
g48053,191.0,143.0,129.0
g48055,151.0,156.0,124.0
g48057,180.0,140.0,134.0
g48059,211.0,178.0,198.0
g48061,51.0,6.0,11.0
g48063,73.0,96.0,92.0
g48065,229.0,218.0,232.0
g48067,27.0,54.0,64.0
g48069,174.0,75.0,74.0
g48071,250.0,252.0,250.0
g48073,57.0,93.0,98.0
g48075,35.0,164.0,203.0
g48077,217.0,188.0,205.0
g48079,171.0,172.0,132.0
g48081,89.0,50.0,40.0
g48083,24.0,26.0,45.0
g48085,243.0,248.0,251.0
g48087,54.0,65.0,49.0
g48089,114.0,131.0,118.0
g48091,247.0,230.0,220.0
g48093,97.0,42.0,61.0
g48095,36.0,224.0,217.0
g48097,198.0,137.0,153.0
g48099,143.0,129.0,175.0
g48101,8.0,7.0,15.0
g48103,209.0,174.0,144.0
g48105,168.0,98.0,63.0
g48107,63.0,21.0,26.0
g48109,94.0,8.0,10.0
g48111,216.0,197.0,194.0
g48113,23.0,72.0,149.0
g48115,41.0,122.0,160.0
g48117,193.0,87.0,73.0
g48119,130.0,71.0,112.0
g48121,238.0,241.0,247.0
g48123,46.0,106.0,87.0
g48125,16.0,51.0,60.0
g48127,45.0,11.0,5.0
g48129,120.0,154.0,152.0
g48131,21.0,16.0,6.0
g48133,58.0,58.0,69.0
g48135,200.0,187.0,142.0
g48137,118.0,47.0,28.0
g48139,233.0,222.0,228.0
g48141,92.0,19.0,24.0
g48143,207.0,186.0,199.0
g48145,14.0,39.0,36.0
g48147,119.0,146.0,193.0
g48149,190.0,148.0,131.0
g48151,135.0,57.0,81.0
g48153,64.0,35.0,35.0
g48155,3.0,3.0,7.0
g48157,226.0,247.0,249.0
g48159,158.0,115.0,122.0
g48161,128.0,203.0,197.0
g48163,29.0,68.0,58.0
g48165,244.0,235.0,218.0
g48167,184.0,208.0,215.0
g48169,13.0,111.0,86.0
g48171,213.0,74.0,54.0
g48173,254.0,253.0,253.0
g48175,139.0,132.0,90.0
g48177,109.0,104.0,68.0
g48179,157.0,159.0,191.0
g48181,149.0,108.0,138.0
g48183,81.0,153.0,162.0
g48185,67.0,199.0,187.0
g48187,236.0,213.0,211.0
g48189,80.0,64.0,76.0
g48191,26.0,24.0,34.0
g48193,110.0,29.0,41.0
g48195,205.0,161.0,133.0
g48197,22.0,31.0,37.0
g48199,221.0,225.0,233.0
g48201,52.0,102.0,178.0
g48203,137.0,202.0,192.0
g48205,210.0,250.0,252.0
g48207,59.0,97.0,102.0
g48209,240.0,221.0,235.0
g48211,197.0,183.0,150.0
g48213,167.0,147.0,143.0
g48215,103.0,13.0,16.0
g48217,154.0,103.0,130.0
g48219,202.0,157.0,136.0
g48221,228.0,207.0,196.0
g48223,165.0,114.0,151.0
g48225,4.0,119.0,103.0
g48227,25.0,86.0,91.0
g48229,83.0,32.0,21.0
g48231,177.0,182.0,201.0
g48233,182.0,180.0,190.0
g48235,235.0,233.0,207.0
g48237,142.0,238.0,240.0
g48239,176.0,192.0,155.0
g48241,74.0,173.0,168.0
g48243,178.0,105.0,59.0
g48245,11.0,145.0,166.0
g48247,62.0,44.0,27.0
g48249,93.0,55.0,32.0
g48251,234.0,226.0,237.0
g48253,6.0,141.0,186.0
g48255,17.0,138.0,140.0
g48257,230.0,223.0,229.0
g48259,252.0,244.0,238.0
g48261,65.0,12.0,12.0
g48263,98.0,56.0,88.0
g48265,162.0,49.0,42.0
g48267,99.0,53.0,47.0
g48269,224.0,229.0,241.0
g48271,32.0,25.0,31.0
g48273,56.0,45.0,43.0
g48275,10.0,17.0,25.0
g48277,61.0,67.0,101.0
g48279,88.0,33.0,33.0
g48281,199.0,144.0,159.0
g48283,5.0,30.0,18.0
g48285,155.0,125.0,116.0
g48287,196.0,200.0,181.0
g48289,138.0,170.0,115.0
g48291,204.0,227.0,223.0
g48293,79.0,134.0,126.0
g48295,215.0,184.0,189.0
g48297,116.0,116.0,111.0
g48299,112.0,73.0,50.0
g48301,78.0,254.0,254.0
g48303,144.0,99.0,156.0
g48305,123.0,48.0,46.0
g48307,150.0,66.0,78.0
g48309,72.0,79.0,114.0
g48311,166.0,228.0,230.0
g48313,19.0,194.0,180.0
g48315,20.0,124.0,89.0
g48317,208.0,163.0,157.0
g48319,179.0,121.0,96.0
g48321,122.0,101.0,97.0
g48323,104.0,5.0,4.0
g48325,206.0,177.0,145.0
g48327,42.0,9.0,14.0
g48329,231.0,240.0,214.0
g48331,76.0,81.0,79.0
g48333,115.0,62.0,72.0
g48335,34.0,219.0,239.0
g48337,159.0,135.0,141.0
g48339,246.0,245.0,245.0
g48341,189.0,92.0,117.0
g48343,18.0,46.0,56.0
g48345,101.0,139.0,208.0
g48347,68.0,136.0,135.0
g48349,100.0,127.0,110.0
g48351,91.0,198.0,204.0
g48353,49.0,34.0,44.0
g48355,95.0,60.0,55.0
g48357,218.0,191.0,164.0
g48359,147.0,43.0,71.0
g48361,185.0,204.0,225.0
g48363,161.0,130.0,107.0
g48365,172.0,234.0,212.0
g48367,248.0,246.0,246.0
g48369,203.0,94.0,80.0
g48371,82.0,120.0,93.0
g48373,39.0,118.0,119.0
g48375,43.0,52.0,83.0
g48377,55.0,14.0,8.0
g48379,183.0,158.0,179.0
g48381,225.0,206.0,224.0
g48383,239.0,242.0,222.0
g48385,48.0,27.0,29.0
g48387,30.0,37.0,39.0
g48389,28.0,22.0,19.0
g48391,47.0,40.0,30.0
g48393,223.0,181.0,172.0
g48395,33.0,109.0,70.0
g48397,253.0,249.0,248.0
g48399,40.0,38.0,38.0
g48401,105.0,209.0,206.0
g48403,44.0,59.0,51.0
g48405,2.0,28.0,23.0
g48407,146.0,201.0,183.0
g48409,156.0,88.0,75.0
g48411,50.0,151.0,139.0
g48413,188.0,176.0,106.0
g48415,96.0,179.0,169.0
g48417,181.0,160.0,165.0
g48419,70.0,195.0,154.0
g48421,214.0,149.0,147.0
g48423,163.0,175.0,170.0
g48425,232.0,214.0,216.0
g48427,37.0,2.0,2.0
g48429,140.0,162.0,161.0
g48431,152.0,185.0,158.0
g48433,133.0,167.0,200.0
g48435,242.0,232.0,176.0
g48437,66.0,83.0,123.0
g48439,108.0,152.0,209.0
g48441,127.0,80.0,125.0
g48443,60.0,82.0,62.0
g48445,86.0,91.0,95.0
g48447,126.0,142.0,177.0
g48449,169.0,95.0,104.0
g48451,129.0,69.0,84.0
g48453,194.0,211.0,231.0
g48455,111.0,76.0,53.0
g48457,38.0,168.0,185.0
g48459,187.0,196.0,202.0
g48461,175.0,100.0,82.0
g48463,69.0,18.0,20.0
g48465,113.0,23.0,22.0
g48467,186.0,128.0,148.0
g48469,145.0,107.0,100.0
g48471,15.0,205.0,227.0
g48473,195.0,237.0,221.0
g48475,77.0,84.0,57.0
g48477,71.0,112.0,108.0
g48479,153.0,15.0,9.0
g48481,75.0,89.0,66.0
g48483,192.0,169.0,146.0
g48485,90.0,113.0,173.0
g48487,31.0,36.0,48.0
g48489,12.0,10.0,17.0
g48491,241.0,236.0,244.0
g48493,245.0,220.0,210.0
g48495,164.0,133.0,105.0
g48497,249.0,243.0,242.0
g48499,125.0,70.0,77.0
g48501,237.0,212.0,137.0
g48503,170.0,110.0,120.0
g48505,124.0,20.0,13.0
g48507,9.0,4.0,3.0
g51001,47.0,20.0,34.0
g51003,82.0,114.0,109.0
g51005,65.0,48.0,33.0
g51007,73.0,95.0,101.0
g51009,72.0,86.0,49.0
g51011,66.0,63.0,63.0
g51013,83.0,129.0,133.0
g51015,99.0,101.0,94.0
g51017,38.0,25.0,21.0
g51019,102.0,111.0,106.0
g51021,43.0,46.0,105.0
g51023,119.0,126.0,110.0
g51025,9.0,5.0,22.0
g51027,1.0,36.0,47.0
g51029,31.0,15.0,40.0
g51031,96.0,94.0,78.0
g51033,111.0,89.0,92.0
g51035,28.0,44.0,52.0
g51036,130.0,123.0,77.0
g51037,25.0,29.0,31.0
g51041,122.0,115.0,118.0
g51043,115.0,118.0,117.0
g51045,93.0,79.0,56.0
g51047,92.0,76.0,103.0
g51049,70.0,47.0,67.0
g51051,2.0,33.0,54.0
g51053,89.0,61.0,82.0
g51057,59.0,32.0,37.0
g51059,75.0,99.0,130.0
g51061,117.0,121.0,122.0
g51063,50.0,88.0,81.0
g51065,123.0,113.0,83.0
g51067,69.0,80.0,79.0
g51069,108.0,110.0,111.0
g51071,60.0,81.0,68.0
g51073,113.0,107.0,99.0
g51075,124.0,131.0,128.0
g51077,22.0,35.0,32.0
g51079,100.0,82.0,95.0
g51081,21.0,6.0,104.0
g51083,37.0,30.0,17.0
g51085,134.0,132.0,119.0
g51087,107.0,103.0,91.0
g51089,39.0,45.0,36.0
g51091,11.0,56.0,26.0
g51093,110.0,109.0,107.0
g51095,109.0,96.0,88.0
g51097,67.0,73.0,93.0
g51099,125.0,124.0,126.0
g51101,127.0,130.0,114.0
g51103,41.0,8.0,7.0
g51105,16.0,41.0,41.0
g51107,112.0,127.0,134.0
g51109,98.0,97.0,100.0
g51111,13.0,17.0,61.0
g51113,86.0,55.0,62.0
g51115,77.0,52.0,45.0
g51117,12.0,13.0,16.0
g51119,51.0,31.0,48.0
g51121,103.0,116.0,112.0
g51125,49.0,42.0,38.0
g51127,133.0,125.0,121.0
g51131,4.0,10.0,12.0
g51133,32.0,28.0,19.0
g51135,23.0,12.0,28.0
g51137,91.0,78.0,73.0
g51139,54.0,50.0,53.0
g51141,26.0,22.0,20.0
g51143,57.0,72.0,74.0
g51145,126.0,119.0,131.0
g51147,46.0,26.0,42.0
g51149,116.0,106.0,127.0
g51153,87.0,71.0,124.0
g51155,62.0,68.0,59.0
g51157,85.0,108.0,97.0
g51159,20.0,9.0,85.0
g51161,120.0,117.0,89.0
g51163,55.0,77.0,65.0
g51165,78.0,93.0,86.0
g51167,14.0,60.0,66.0
g51169,18.0,38.0,43.0
g51171,64.0,58.0,50.0
g51173,34.0,43.0,30.0
g51175,45.0,34.0,71.0
g51177,114.0,102.0,116.0
g51179,128.0,122.0,129.0
g51181,61.0,59.0,90.0
g51183,6.0,7.0,84.0
g51185,27.0,69.0,60.0
g51187,105.0,104.0,98.0
g51191,84.0,100.0,80.0
g51193,24.0,24.0,39.0
g51195,10.0,53.0,75.0
g51197,52.0,62.0,55.0
g51199,132.0,128.0,120.0
g51510,53.0,98.0,115.0
g51515,63.0,27.0,6.0
g51520,42.0,49.0,9.0
g51530,68.0,70.0,15.0
g51540,56.0,84.0,70.0
g51550,129.0,120.0,113.0
g51570,90.0,54.0,24.0
g51580,48.0,64.0,46.0
g51590,29.0,19.0,8.0
g51595,8.0,1.0,2.0
g51600,81.0,90.0,123.0
g51610,106.0,134.0,132.0
g51620,33.0,18.0,4.0
g51630,79.0,83.0,57.0
g51640,5.0,2.0,1.0
g51650,104.0,87.0,76.0
g51660,19.0,39.0,35.0
g51670,40.0,23.0,11.0
g51678,30.0,16.0,102.0
g51680,74.0,66.0,23.0
g51683,7.0,11.0,87.0
g51685,3.0,3.0,64.0
g51690,35.0,14.0,3.0
g51700,97.0,74.0,58.0
g51710,80.0,57.0,72.0
g51720,58.0,85.0,14.0
g51730,17.0,4.0,5.0
g51735,131.0,133.0,125.0
g51740,94.0,51.0,29.0
g51750,71.0,75.0,44.0
g51760,36.0,37.0,18.0
g51770,44.0,40.0,13.0
g51775,101.0,91.0,51.0
g51790,88.0,65.0,10.0
g51800,121.0,105.0,96.0
g51810,118.0,112.0,108.0
g51820,76.0,67.0,25.0
g51830,95.0,92.0,69.0
g51840,15.0,21.0,27.0
